Compound;logKow;pka;logDow;Soil;Corg [% C];CEC [meq/100g];pH;F quartz;F non ex clay;F ex clay;Feldspar;Silicate;BET;ρb​;WHC;θ;Cb dosage 0.1 µg/L;Cb dosage 1 µg/L;logKd 10^-5;logKoc 10^-5;logKd 10^-6;logKoc 10^-6;logKf;n
1,3-diphenylguanidine;2,89;10,12;-2,56;2,1;0,62;3,44;4,67;0,51;0,382;0,0021;5;2,6;0,917;1,437;30;0,4311;4,68E-06;8,69E-05;3,10;5,31;3,34;5,54;1,90;0,76
1,3-diphenylguanidine;2,89;10,12;0,26;2,4;2,08;17,51;7,49;0,38;0,41;0,05;12,6;1,15;11,702;1,25;44,8;0,56;2,43E-05;3,92E-04;2,81;4,49;3,00;4,68;1,83;0,81
1,3-diphenylguanidine;2,89;10,12;-1,51;2,3;0,75;6,08;5,72;0,4;0,476;0;11,4;1;4,071;1,332;35;0,4662;1,74E-04;2,41E-03;2,10;4,23;2,24;4,37;1,38;0,86
1,3-diphenylguanidine;2,89;10,12;0,08;6S;1,58;19,09;7,31;0,155;0,84;0;0;0;47,349;1,247;47,1;0,587337;2,21E-04;2,47E-03;2,25;4,05;2,30;4,10;1,96;0,94
1,3-diphenylguanidine;2,89;10,12;0,22;Nir Oz;0,5;11;7,45;0,32;0,446;0;7,9;6,2;9,346;1,4973;40;0,59892;5,54E-04;7,12E-03;1,74;4,04;1,85;4,16;1,17;0,89
1,3-diphenylguanidine;2,89;10,12;0,42;Sa'ad;1,14;22,5;7,65;0;0,38;0,28;5,5;0;40,934;1,20543;64;0,7714752;2,51E-04;3,33E-03;2,22;4,16;2,35;4,29;1,59;0,87
Aniline;0,91;4,64;0,62;2,1;0,62;3,44;4,67;0,51;0,382;0,0021;5;2,6;0,917;1,437;30;0,4311;1,38E-07;4,10E-06;3,68;5,89;4,05;6,26;1,84;0,63
Aniline;0,91;4,64;0,91;2,4;2,08;17,51;7,49;0,38;0,41;0,05;12,6;1,15;11,702;1,25;44,8;0,56;1,18E-07;3,32E-06;3,92;5,60;4,27;5,96;2,15;0,65
Aniline;0,91;4,64;0,88;2,3;0,75;6,08;5,72;0,4;0,476;0;11,4;1;4,071;1,332;35;0,4662;2,33E-05;4,02E-04;2,68;4,80;2,89;5,02;1,60;0,78
Aniline;0,91;4,64;0,91;6S;1,58;19,09;7,31;0,155;0,84;0;0;0;47,349;1,247;47,1;0,587337;2,40E-03;2,16E-02;1,31;3,11;1,26;3,06;1,53;1,04
Aniline;0,91;4,64;0,91;Nir Oz;0,5;11;7,45;0,32;0,446;0;7,9;6,2;9,346;1,4973;40;0,59892;5,74E-11;3,67E-09;4,56;6,87;5,10;7,40;1,90;0,47
Aniline;0,91;4,64;0,91;Sa'ad;1,14;22,5;7,65;0;0,38;0,28;5,5;0;40,934;1,20543;64;0,7714752;8,02E-21;7,35E-19;6,21;8,15;6,92;8,87;2,64;0,29
